no,chris,james,michael,guest,man
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,1,8,7,6,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,10,10,10,
12,10,9.4,7,
13,2,1.8,7.5,
14,7,6.2,5,
15,8,8.9,7.5,8,
16,10,6.8,10,
17,,,,,,
18,11,9.8,1000,
19,7.5,7.9,9,
20,8,8.5,10,10,
21,6,6.8,9,
22,9,9.0,9.4,9,
23,6,5.8,7.5,
24,8,8.3,10,
25,5,6.1,6.1,,Krampus
25,9,8.9,9,,Père Fouettard
25,4,2.5,2,,Grýla  & Family
26,3,5,3.7,5,
patreon,6,5.9,5,,Hans Gruber
27,6,5.9,5,
28,8,8.5,8,
29,4,5,8.5,
30,9,9,9.99,
31,8,7.1,9.5,
32,5,5.8,7,
33,7,6.2,7,
34,5,3.9,5,
35,10,9.99,10,
36,6,4.5,8,,
37,4,5.1,9,,
38,6,5.5,8.5,,
39,8,7.7,9,,
40,8,8.0,9.7,,
41,9,7.8,9.6,,
42,7,4.1,10,7,
43,7,4.2,7.1,,
44,2,3.0,5.9,,
45,6,7.0,7.99,,Sparmurat Niyazov
46,6,6.8,7.4,,
47,6,5.0,2,,
49,3,9.4,9,,
50,6,6.8,6.8,,
51,8,5,10
52,8,9.1,9,8.9,,David Dineen-Porter
53,9,10,8.5,8,,Brandon Ash-Mohammed
54,8,8.3,9
55,4,2.2,5
56,7,7.7,7
57,8,6.5,8
58,3,1.1,3.7,
59,7,8,6.8,
60,4,3.3,6.5,5.5,,Ennis Esmer
61,8,3.8,8.3
63,,8.6,8.6,7.5,,Evany Rosen
64,4,3.2,5,,,
65,3,2,4.5,,,
66,5,6,4,7,
68,8,8.5,8.5,8,
67,1,4,4.2,,Alistair Crowley
70,2,1.9,,1.8,
71,9,9.5,9.6,,
72,1,1.3,0.86,,
73,8,7.9,9.3,,
76,9,9,9.1,,Andrew Tate
77,2.0,2.0,9.3,9.5,Gene Simmons
78,7,8.4,,7,Peter Popoff
79,2,3.0,5.5,,Andy Dick
80,4,4,5,,
83,4,4.1,6.9,,
81,6,5,6.2,,
84,9,7,9.3,,
82,8,7.5,8,9,
85,2,1.4,4.5,,
86,9,9.1,8.7,8.5,Sauron
87,7,6.8,7.6,5+6.1,
90,5,3.1,,8,
89,3,2.8,5,9.2,
91,9,9,,9,
88,1,0,7,,
92,4,4,5.3,,
95,5,2,9.6,,
93,8,7.2,6,,
94,7,5.1,8,,
96,5,1,8.3,,
97,1,1.5,4,,
98,8,8.2,8.5,7.5,
99,8,8.8,9.2,9,
102,6,5.2,7.3,
103,2,1,2,2.8,
101,6,7,7.5,,
105,9,9.8,9.85,,
,7,7,6.5,6.5,
